Struttura dati utilizzata: PQbinaryHeap   Tempo impiegato: 1.741 s 
 
Peso totale: 1452948.0
 
MST: 
 
(181, 762, 1749.0)
(351, 655, 1754.0)
(502, 650, 1758.0)
(650, 1085, 676.0)
(609, 966, 1762.0)
(117, 516, 1765.0)
(1079, 1130, 1769.0)
(929, 1119, 1777.0)
(229, 612, 1780.0)
(182, 358, 1796.0)
(597, 1076, 1800.0)
(159, 758, 1804.0)
(114, 673, 1810.0)
(606, 1040, 1811.0)
(40, 369, 1818.0)
(485, 418, 1828.0)
(182, 763, 1839.0)
(697, 800, 1840.0)
(226, 806, 1843.0)
(806, 849, 55.0)
(531, 279, 1849.0)
(883, 1115, 1855.0)
(660, 753, 1863.0)
(51, 401, 1875.0)
(401, 987, 1831.0)
(987, 860, 1722.0)
(860, 988, 1105.0)
(57, 285, 1887.0)
(412, 308, 1903.0)
(44, 416, 1914.0)
(416, 278, 724.0)
(548, 1058, 1922.0)
(463, 1028, 1948.0)
(328, 303, 1960.0)
(303, 896, 211.0)
(511, 991, 1962.0)
(454, 514, 1975.0)
(755, 430, 1983.0)
(931, 962, 1987.0)
(111, 669, 1992.0)
(193, 776, 1997.0)
(254, 838, 1999.0)
(117, 683, 2016.0)
(394, 752, 2017.0)
(60, 501, 2018.0)
(482, 498, 2030.0)
(135, 301, 2044.0)
(837, 836, 2056.0)
(57, 492, 2058.0)
(430, 1002, 2069.0)
(1002, 730, 1517.0)
(742, 943, 2076.0)
(978, 495, 2084.0)
(339, 934, 2091.0)
(934, 986, 287.0)
(986, 1086, 205.0)
(1086, 1131, 694.0)
(986, 657, 719.0)
(1, 34, 2113.0)
(20, 156, 2143.0)
(156, 748, 1289.0)
(40, 246, 2145.0)
(60, 243, 2148.0)
(243, 831, 271.0)
(243, 177, 576.0)
(234, 540, 2157.0)
(68, 525, 2160.0)
(848, 1097, 2162.0)
(334, 925, 2167.0)
(471, 359, 2174.0)
(331, 904, 2179.0)
(571, 959, 2184.0)
(959, 1121, 895.0)
(498, 1048, 2190.0)
(354, 873, 2202.0)
(144, 735, 2205.0)
(764, 1101, 2228.0)
(756, 1100, 2233.0)
(420, 608, 2270.0)
(23, 291, 2271.0)
(723, 940, 2277.0)
(106, 666, 2284.0)
(451, 368, 2285.0)
(736, 635, 2307.0)
(633, 95, 2323.0)
(930, 1010, 2324.0)
(453, 1011, 2340.0)
(836, 879, 2344.0)
(903, 1050, 2364.0)
(482, 1039, 2368.0)
(537, 1056, 2372.0)
(500, 272, 2384.0)
(272, 861, 739.0)
(763, 1047, 2385.0)
(383, 937, 2389.0)
(104, 595, 2394.0)
(57, 493, 2395.0)
(321, 916, 2403.0)
(611, 1080, 2410.0)
(1077, 1031, 2437.0)
(268, 854, 2442.0)
(499, 536, 2444.0)
(305, 248, 2448.0)
(22, 280, 2475.0)
(275, 865, 2491.0)
(162, 759, 2499.0)
(20, 260, 2504.0)
(587, 654, 2513.0)
(873, 1114, 2532.0)
(349, 344, 2540.0)
(375, 968, 2551.0)
(1000, 1125, 2580.0)
(552, 1059, 2583.0)
(328, 672, 2604.0)
(526, 1053, 2605.0)
(290, 546, 2614.0)
(444, 460, 2617.0)
(957, 1062, 2622.0)
(151, 739, 2640.0)
(92, 627, 2662.0)
(355, 746, 2681.0)
(354, 958, 2684.0)
(724, 786, 2690.0)
(23, 108, 2707.0)
(482, 1041, 2716.0)
(102, 638, 2725.0)
(105, 664, 2731.0)
(664, 989, 1751.0)
(57, 489, 2746.0)
(376, 972, 2783.0)
(1067, 1016, 2785.0)
(589, 297, 2827.0)
(987, 713, 2828.0)
(117, 682, 2839.0)
(236, 630, 2850.0)
(114, 667, 2870.0)
(880, 530, 2871.0)
(540, 1008, 2875.0)
(100, 636, 2928.0)
(433, 992, 2939.0)
(375, 969, 2960.0)
(657, 1088, 2991.0)
(91, 617, 3001.0)
(459, 1021, 3025.0)
(1067, 979, 3035.0)
(459, 1023, 3045.0)
(1088, 1087, 3046.0)
(395, 984, 3056.0)
(181, 761, 3058.0)
(91, 615, 3083.0)
(957, 1099, 3122.0)
(770, 1103, 3124.0)
(321, 441, 3128.0)
(135, 715, 3146.0)
(852, 819, 3156.0)
(455, 816, 3174.0)
(77, 574, 3204.0)
(202, 788, 3270.0)
(485, 1035, 3298.0)
(255, 841, 3309.0)
(663, 1090, 3314.0)
(755, 158, 3317.0)
(217, 153, 3328.0)
(442, 538, 3338.0)
(864, 1112, 3351.0)
(41, 393, 3358.0)
